Id,Causa,Materia,Argomento,settore,Gruppo,Argomento ori
,C-.../95,Diritto agrario comunitario / Importazioni da Paesi terzi,Contingenti tariffari banane,agricoltura - banane,3,Contingenti tariffari  banane
,T-.../96,Diritto agrario comunitario / Importazioni da Paesi terzi,Ricorso in carenza,agricoltura - banane,4,Ricorso in carenza - banane
,T-.../97,Diritto agrario comunitario,Finanziamenti comunitari,agricoltura - foraggi,4,Finanziamenti comunitari - foraggi
,T-.../97,Diritto agrario comunitario / Importazioni da Paesi terzi,Ricorso in carenza,agricoltura - banane,4,Ricorso in carenza - banane
,T-.../97,Ricerca scientifica,Finanziamenti comunitari, - ,4,Finanziamenti comunitari
,T-.../97,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane
,C-.../98&nbsp;P,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane
,T-.../98,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane
,T-.../98,Diritto agrario comunitario,Vendita da organismi di intervento,agricoltura - orzo,4,Vendita da organismi di intervento - orzo
,T-.../99,Funzione pubblica europea,Statuto dei funzionari europei, - ,4,Statuto dei funzionari europei
,T-.../99,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei
,T-.../99,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei
,T-.../99,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei
,T-.../00,Diritto agrario comunitario / Importazioni da Paesi terzi,Licenze,agricoltura - banane,4,Licenze - banane
,C-.../00,Diritto agrario comunitario,Quote latte,agricoltura - latte,4,Quote latte
,C-.../00&nbsp;P,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane
,C-.../00&nbsp;P,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei
,T-.../01,Diritto agrario comunitario / Importazioni da Paesi terzi,Licenze,agricoltura - banane,4,Licenze - banane
,T-.../01,Trasparenza amministrativa delle istituzioni comunitarie,Accesso ai documenti, - ,4,Accesso ai documenti
,T-.../01,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei
,T-.../01,Concorrenza,Aiuti di Stato,industria - siderurgia,4,Aiuti di Stato - prodotti siderurgici
,C-.../02&nbsp;P,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei
,T-.../03,Concorrenza,Intese,industria - siderurgia,4,Intese - prodotti siderurgici
,C-.../03,Ambiente,Inquinamento,ambiente - acque lacustri francesi,4,Inquinamento - acque lacustri francesi
,C-.../03&nbsp;P,Diritto agrario comunitario / Importazioni da Paesi terzi,Licenze,agricoltura - banane,4,Licenze - banane
,T-.../04,Concorrenza,Intese,industria - siderurgia,4,Intese - prodotti siderurgici
,T-.../04,Trasparenza amministrativa delle istituzioni comunitarie,Accesso ai documenti, - ,4,Accesso ai documenti
,T-.../04,Trasparenza amministrativa delle istituzioni comunitarie,Accesso ai documenti, - ,4,Accesso ai documenti
,T-.../04,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane
,C-.../05&nbsp;P,Concorrenza,Aiuti di Stato,industria - siderurgia,4,Aiuti di Stato - prodotti siderurgici
,T-.../05,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane
,C-.../06&nbsp;P,Concorrenza,Intese,industria - siderurgia,4,Intese - prodotti siderurgici
,C-.../07,Pesca / Ambiente,Reti da posta derivanti per la pesca del tonno nel bacino mediterraneo francese,ambiente - pesca,4,Reti da posta derivanti per la pesca del tonno nel bacino mediterraneo francese
,T-.../07,Concorrenza,Clausola compromissoria - fideiussione bancaria,bancario - bancario,4,Clausola compromissoria - fideiussione bancaria
,C-.../08,Diritto agrario comunitario,Sovvenzioni comunitarie,agricoltura - bovini,4,Sovvenzioni comunitarie - bovini
,C-.../09,Fiscalit_,Imposta di registro, - notai,4,Imposta di registro - Notai
,T-.../09,Aiuti di Stato,Risarcimento danni,industria - navale,4,Risarcimento danni - cantieristica navale
,C-.../09,Diritto agrario comunitario/Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane
,T-.../10,Concorrenza,Intese,industria - siderurgia,4,Intese - prodotti siderurgici
,C-.../12&nbsp;P,Aiuti di Stato,Risarcimento danni,industria - navale,4,Risarcimento danni - cantieristica navale
,C-.../13,Diritto agrario comunitario/ Importazioni da Paesi terzi,Licenze,agricoltura - aglio,4,Licenze - aglio
,C-.../13&nbsp;P,Diritto agrario comunitario/ Importazioni da Paesi terzi,Licenze,agricoltura - banane,4,Licenze - banane
